"episode_overall","season","episode","title","aired_date","year","rating","votes","synopsis","runtime","tmdb_id"
1,1,1,"Human Flesh","2011-01-09",2011,6.929,28,"A health inspector's visit coincides with Bob's efforts to bring in customers.",22,769774
2,1,2,"Crawl Space","2011-01-16",2011,7.476,21,"A leaky roof causes Bob to get trapped in a wall while Linda's mother visits.",22,769775
3,1,3,"Sacred Cow","2011-01-23",2011,7.4,18,"Bob takes to a film maker's cow.",22,769778
4,1,4,"Sexy Dance Fighting","2011-02-13",2011,7.1,19,"Tina develops a crush on her martial arts instructor.",22,769776
5,1,5,"Hamburger Dinner Theater","2011-02-20",2011,7.3,19,"Linda and the kids stage a murder mystery that doesn't go as planned.",22,769777
6,1,6,"Sheesh! Cab, Bob?","2011-03-06",2011,7,20,"Tina is desperate to get her first kiss at her 13th birthday party. But after Louise breaks the deep fryer, Bob takes a second job as a late-night cab driver to pay for Tina’s party. Things keep getting worse for Bob when the parents of Tina’s crush refuse to let their son attend the party, and Bob has to do everything in his power to save his daughter’s big day.",22,769779
7,1,7,"Bed & Breakfast","2011-03-13",2011,7.4,18,"Linda hosts a bed and breakfast, but her guests aren't as grateful as she would like.  Things take a turn for the worse when Louise's room is rented to Teddy.",22,769780
8,1,8,"Art Crawl","2011-03-20",2011,7.9,17,"It's Bob vs. the city art council when Linda's sister displays her work at Bob's Burgers.",22,769781
9,1,9,"Spaghetti Western and Meatballs","2011-03-27",2011,7.5,16,"Bob and Gene bond over spaghetti western movies, which makes Louise jealous.",22,769782
10,1,10,"Burger Wars","2011-04-10",2011,7.6,14,"When Bob's eccentric landlord, Mr. Fischoeder, pays the family a visit, he informs Bob that his rival across the street, Jimmy Pesto of Jimmy Pesto's Pizzeria, wants to take over Bob's lease so that he can expand his gift shop. With little time and not enough money, the Belcher family must cook up some business or luck to save the restaurant.",22,769783
11,1,11,"Weekend at Mort's","2011-05-08",2011,7.8,15,"Bob and his family are forced to spend the weekend at Mort the Mortician's while the restaurant is being de-molded. Linda and Bob double date with Mort and a female mortician he meets online while Tina babysits Gene and Louise in Mort’s crematorium.",22,769784
12,1,12,"Lobsterfest","2011-05-15",2011,7.6,16,"After the town's annual Lobsterfest is cancelled by a storm, Bob defiantly opens his doors for a festive celebration. When he wakes the next morning, Bob finds the restaurant in disarray and that the town has spurned him, but Bob won't let that deter him from further involvement in the celebratory weekend.",22,769785
13,1,13,"Torpedo","2011-05-22",2011,7.7,15,"Bob's hero, a washed-up baseball player named Torpedo Jones, starts pitching for the local minor league team. Torpedo befriends Bob, but the dark underbelly of minor league baseball threatens to corrupt the Belchers.",22,769786
14,2,1,"The Belchies","2012-03-11",2012,7.9,16,"The kids hunt for treasure in an abandoned taffy factory and Bob and Linda must find them before the factory’s scheduled demolition",22,769789
15,2,2,"Bob Day Afternoon","2012-03-18",2012,8.6,15,"A bank robber holds up a bank across the street from Bob’s Burgers. When the robbery goes awry, Bob finds himself at the center of a hostage crisis.",22,769790
16,2,3,"Synchronized Swimming","2012-03-25",2012,7.4,15,"The kids con their way out of gym class with a bogus synchronized swimming independent study. Meanwhile, Bob welcomes a new soft serve ice cream machine to the restaurant.",22,769791
17,2,4,"Burgerboss","2012-04-01",2012,7.8,15,"Bob becomes obsessed with an old-school burger-flipping video game after Jimmy Pesto gets the high score and writes ""BOB SUX"" on the leader board.",22,769787
18,2,5,"Food Truckin'","2012-04-15",2012,7.7,15,"The Belchers beg Bob to buy a food truck to compete against the ones that are stealing his customers. When the ""Lolla-Pa-Foods-A-Festival"" comes up, the Belchers bring the truck and the kids decide to cause mischief. Unfortunately, this causes a riot to rise from the other food truckers.",22,769788
19,2,6,"Dr. Yap","2012-04-29",2012,7.2,14,"While Bob is medicated, he mistakes Linda's sister, Gayle, for his wife and kisses her. After she falls for him, Bob seeks help from Dr. Yap.",22,769792
20,2,7,"Moody Foodie","2012-05-06",2012,7.3,14,"The restaurant receives a negative review from a vicious food critic.",22,769795
21,2,8,"Bad Tina","2012-05-13",2012,7.8,17,"Tina befriends a bad girl in a bid to get closer to Jimmy Junior.",22,769794
22,2,9,"Beefsquatch","2012-05-20",2012,7.7,15,"Bob appears in a cooking segment on a local news morning program, but Gene steals the show when he crashes the set with a sasquatch mask.",22,769793
23,3,1,"Ear-sy Rider","2012-09-30",2012,7.7,16,"A biker gang sets up shop in the restaurant, where they lament the loss of their beloved leader.",22,769797
24,3,2,"Full Bars","2012-10-07",2012,8.1,18,"The Belcher kids break with a long standing Halloween tradition, veering away from their usual trick or treat trek in favor of a posh neighborhood that's known for its oversize goodies.",22,769798
25,3,3,"Bob Fires the Kids","2012-11-04",2012,7.7,14,"Worried that his kids are not enjoying summer vacation because he's making them work in the restaurant, Bob fires them. But they soon become bored and take jobs as ""weed pickers"" for a pair of hippie farmers.",22,769799
