"","episode_overall","aired_date","year","season","episode","title","rating","synopsis"
"1",1,2011-01-08,2011,"1",1,"Human Flesh","7.7","On top of watching his dysfunctional family crumble around him, Bob faces the wrath of a jealous health inspector who cooks up a nasty rumor about the restaurant's choice of meat."
"2",2,2011-01-15,2011,"1",2,"Crawl Space","8.1","His in-laws are coming into town, and Bob tries desperately to concoct a plan to avoid them for as long as he can. Unfortunately, Bob did not plan to get stuck in the recesses of the family restaurant."
"3",3,2011-01-22,2011,"1",3,"Sacred Cow","7.5","A filmmaker placed a cow outside the restaurant to make a statement, which angers Bob, but his family is confused over how he treats the cow."
"4",4,2011-02-12,2011,"1",4,"Sexy Dance Fighting","7.4","When Tina develops a crush on the new martial arts instructor in town, she joins the class and ends up shirking her responsibilities at the restaurant. Bob finds out what's going on and decides to take matters into his own hands."
"5",5,2011-02-19,2011,"1",5,"Hamburger Dinner Theater","7.5","Linda is dying to relive her dream of becoming a star on Broadway, so she decides to host a dinner theater at the restaurant. But on opening night a shocking surprise leaves Linda with a more chilling production than she planned for."
"6",6,2011-03-05,2011,"1",6,"Sheesh! Cab, Bob?","8.3","Bob takes a second job as a nighttime cab driver so he can give Tina the 13th birthday party she deserves, and he makes some surprising new friends along the ride."
"7",7,2011-03-12,2011,"1",7,"Bed & Breakfast","7.5","Linda gets really excited about opening a Bed and Breakfast to capitalize on the high volume of tourists coming into town, but when the guests start to arrive Louise senses espionage afoot."
"8",8,2011-03-19,2011,"1",8,"Art Crawl","7.9","Linda's eccentric sister Gayle comes to town intending to use the restaurant as a gallery for her paintings during this year's ""Art Crawl."" Bob is left totally oblivious the comically explicit nature of Gayle's artwork until it's too late."
"9",9,2011-03-26,2011,"1",9,"Spaghetti Western and Meatballs","7.6","Bob and Gene bond over spaghetti western movies, which makes Louise jealous."
"10",10,2011-04-09,2011,"1",10,"Burger War","7.7","Bob's landlord has been understanding about the consistent delay in rent, but payment time has come. After getting wind of Bob's financial trouble, Jimmy Pesto faces-off against his mortal enemy by introducing burgers to his own menu."
"11",11,2011-05-07,2011,"1",11,"Weekend at Mort's","8.0","The family has to stay next door at Mort the Mortician's house since the restaurant is infested with mold. Bob and Linda double date with Mort and his mysterious Internet-girlfriend; while Tina entertains her siblings in the crematorium."
"12",12,2011-05-14,2011,"1",12,"Lobsterfest","7.6","Bob is likely the only person in town excited about the cancellation of this years ""Lobsterfest"" due to inclement weather. Bob strikes gold when he opens the restaurant regardless of the storm, and is celebrated by the masses."
"13",13,2011-05-21,2011,"1",13,"Torpedo","7.6","Bob is giddy as ever when his role model, minor league pitcher Torpedo Jones, gives a shout-out to the restaurant during a game, but is blind-sided upon finding out Torpedo endorses his burgers for reasons which are morally shaky at best."
"14",14,2012-03-10,2012,"2",1,"The Belchies","8.2","The kids hunt for treasure in an abandoned taffy factory and Bob and Linda must find them before the factory's scheduled demolition."
"15",15,2012-03-17,2012,"2",2,"Bob Day Afternoon","8.6","A bank robber holds up a bank across the street from Bob's Burgers. When the robbery goes awry, Bob finds himself at the center of a hostage crisis."
"16",16,2012-03-24,2012,"2",3,"Synchronized Swimming","7.4","The Belcher children sign up for an independent study of synchronized swimming in lieu on participating in gym class. Linda disturbingly watches ""pregnant yoga"" and comes to the rescue of her children in the end."
"17",17,2012-03-31,2012,"2",4,"Burgerboss","8.2","Bob becomes a gamer."
"18",18,2012-04-14,2012,"2",5,"Food Truckin'","7.8","Bob gives the food truck business a try."
"19",19,2012-04-28,2012,"2",6,"Dr. Yap","7.5","When a drugged Bob kisses Gayle thinking she's Linda, Gayle develops a crush on him."
"20",20,2012-05-05,2012,"2",7,"Moody Foodie","7.7","After a critic leaves the restaurant a bad review, Bob goes to drastic measures to get him to change his mind."
"21",21,2012-05-12,2012,"2",8,"Bad Tina","8.0","Tina pals around with a bad girl."
"22",22,2012-05-19,2012,"2",9,"Beefsquatch","7.7","Bob gets thrilled when he gets offered to be in a cookery segment in a local morning show. When Gene steps into the limelight, the audience is not entertained and enthralled by Bob's performance."
"23",23,2012-09-29,2012,"3",1,"Ear-Sy Rider","8.2","While a biker gang begins hanging out at the restaurant, Louise goes through a crisis after a teenager steals her bunny ear hat."
"24",24,2012-10-06,2012,"3",2,"Full Bars","8.3","On Halloween, the kids run into bullies when they go trick-or-treating in the rich neighborhood, while Bob and Linda attend a party where someone kills Teddy's pet guinea pig."
"25",25,2012-11-03,2012,"3",3,"Bob Fires the Kids","8.0","Fearing that he is ruining their childhoods, Bob fires the kids from their jobs at the restaurant, but they just end up working for hippies who run a marijuana farm, instead."
"26",26,2012-11-10,2012,"3",4,"Mutiny on the Windbreaker","7.5","Bob brings the family along when he is hired to be a chef on a docked cruise ship, so they can see his skills outside the restaurant."
"27",27,2012-11-17,2012,"3",5,"An Indecent Thanksgiving Proposal","8.2","In order to entice an old flame who is only attracted to married men, Mr. Fischoeder bribes Bob into letting him pass off Linda and the kids as his own family, but the situation ruins all of Bob's Thanksgiving traditions."
"28",28,2012-11-24,2012,"3",6,"The Deepening","7.8","Mr. Fischoeder buys a mechanical movie shark as an attraction for his amusement park, but the kids accidentally let it loose on the town, forcing Bob and Teddy to save the day."
"29",29,2012-12-01,2012,"3",7,"Tina-Rannosaurus Wrecks","8.3","Tina is wracked with guilt when Bob forces her to lie about an accident that occurred when he let her drive his car, but a shady insurance adjuster sees through their ploy and blackmails Bob into committing more insurance fraud."
"30",30,2012-12-08,2012,"3",8,"The Unbearable Like-Likeness of Gene","7.7","An incredibly annoying girl develops a crush on Gene, but he can't bring himself to dump her after he finds out her father has a music studio in their home."
"31",31,2012-12-15,2012,"3",9,"Bob Rest Ye Merry Gentle-Mannequins","7.8","'Tis the season for strange holiday mannequins."
"32",32,2013-01-05,2013,"3",10,"Mother Daughter Laser Razor","8.0","Linda struggles to connect with Louise when they attend a mother-daughter seminar, while Bob takes Tina to get her legs waxed."
"33",33,2013-01-12,2013,"3",11,"Nude Beach","7.5","It's dingles and dongles and birthday suits."
"34",34,2013-01-26,2013,"3",12,"Broadcast Wagstaff School News","8.4","Tina is on a mission to unmask the middle school and Gene decides to dress up like Bob"
"35",35,2013-02-09,2013,"3",13,"My Fuzzy Valentine","7.5","Bob gets romantic."
"36",36,2013-02-16,2013,"3",14,"Lindapendent Woman","7.8","Linda quits the restaurant and takes up a job at a grocery store."
"37",37,2013-03-02,2013,"3",15,"O.T.: The Outside Toilet","8.2","Gene encounters a mysterious talking toilet."
"38",38,2013-03-09,2013,"3",16,"Topsy","8.5","The Belcher kids take on a Thomas Edison fanatic."
"39",39,2013-03-16,2013,"3",17,"Two for Tina","8.0","Tina finds herself in a love triangle."
"40",40,2013-03-23,2013,"3",18,"It Snakes a Village","7.7","Bob and the family take a swinging vacation."
"41",41,2013-04-13,2013,"3",19,"Family Fracas","7.3","The Belchers appear on a television game show."
